test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.4,cosine,-,,LR,10,1,6201,4135,0.9067,0.2204,0.1,0.9
0.4,cosine,-,,SGD,10,1,6201,4135,0.9016,0.2156,0.1,0.9
0.4,cosine,-,,DT,10,1,6201,4135,0.9589,0.7501,0.1,0.9
0.4,cosine,-,,RF,10,1,6201,4135,0.9674,0.7952,0.9,0.9
0.4,cosine,-,,NB,10,1,6201,4135,0.8493,0.5362,0.0,0.9
0.4,cosine,-,,KNN,10,1,6201,4135,0.9565,0.6933,0.0,0.9
0.4,cosine,-,,SVM,10,1,6201,4135,0.9352,0.4453,0.6,0.9
0.4,linear,-,,LR,15,1,6201,4135,0.9219,0.4517,0.4,0.9
0.4,linear,-,,SGD,15,1,6201,4135,0.8989,0.382,0.3,0.9
0.4,linear,-,,DT,15,1,6201,4135,0.9681,0.7498,0.2,0.9
0.4,linear,-,,RF,15,1,6201,4135,0.979,0.7949,0.9,0.9
0.4,linear,-,,NB,15,1,6201,4135,0.7018,0.4555,0.0,0.9
0.4,linear,-,,KNN,15,1,6201,4135,0.9644,0.718,0.1,0.9
0.4,linear,-,,SVM,15,1,6201,4135,0.9265,0.4239,0.7,0.9
0.4,poly,default,0.014492753623188406,LR,15,1,6201,4135,0.8793,0.2874,0.8,1.0
0.4,poly,default,0.014492753623188406,SGD,15,1,6201,4135,0.8505,0.2011,1.8,1.0
0.4,poly,default,0.014492753623188406,DT,15,1,6201,4135,0.948,0.6742,0.1,1.0
0.4,poly,default,0.014492753623188406,RF,15,1,6201,4135,0.9758,0.7683,0.9,1.0
0.4,poly,default,0.014492753623188406,NB,15,1,6201,4135,0.1195,0.2194,0.0,1.0
0.4,poly,default,0.014492753623188406,KNN,15,1,6201,4135,0.9487,0.657,0.1,1.0
0.4,poly,default,0.014492753623188406,SVM,15,1,6201,4135,0.8375,0.1746,1.0,1.0
0.4,rbf,default,0.014492753623188406,LR,15,1,6201,4135,0.896,0.1997,0.1,1.8
0.4,rbf,default,0.014492753623188406,SGD,15,1,6201,4135,0.9025,0.2112,0.1,1.8
0.4,rbf,default,0.014492753623188406,DT,15,1,6201,4135,0.9538,0.6622,0.2,1.8
0.4,rbf,default,0.014492753623188406,RF,15,1,6201,4135,0.9664,0.7353,0.9,1.8
0.4,rbf,default,0.014492753623188406,NB,15,1,6201,4135,0.8022,0.3815,0.0,1.8
0.4,rbf,default,0.014492753623188406,KNN,15,1,6201,4135,0.9521,0.6638,0.0,1.8
0.4,rbf,default,0.014492753623188406,SVM,15,1,6201,4135,0.9236,0.331,0.7,1.8
0.4,sigmoid,default,0.014492753623188406,LR,15,1,6201,4135,0.9023,0.2493,0.1,1.3
0.4,sigmoid,default,0.014492753623188406,SGD,15,1,6201,4135,0.9006,0.2541,0.1,1.3
0.4,sigmoid,default,0.014492753623188406,DT,15,1,6201,4135,0.9669,0.752,0.2,1.3
0.4,sigmoid,default,0.014492753623188406,RF,15,1,6201,4135,0.9778,0.7978,0.9,1.3
0.4,sigmoid,default,0.014492753623188406,NB,15,1,6201,4135,0.8474,0.5632,0.0,1.3
0.4,sigmoid,default,0.014492753623188406,KNN,15,1,6201,4135,0.9676,0.7282,0.0,1.3
0.4,sigmoid,default,0.014492753623188406,SVM,15,1,6201,4135,0.9432,0.6058,0.6,1.3
0.4,cosine,-,,LR,15,1,6201,4135,0.9115,0.2256,0.1,1.0
0.4,cosine,-,,SGD,15,1,6201,4135,0.8979,0.211,0.1,1.0
0.4,cosine,-,,DT,15,1,6201,4135,0.9608,0.7338,0.2,1.0
0.4,cosine,-,,RF,15,1,6201,4135,0.9674,0.7893,0.9,1.0
0.4,cosine,-,,NB,15,1,6201,4135,0.8392,0.5717,0.0,1.0
0.4,cosine,-,,KNN,15,1,6201,4135,0.9562,0.7071,0.0,1.0
0.4,cosine,-,,SVM,15,1,6201,4135,0.9357,0.4591,0.6,1.0
0.6,none,-,,LR,0,1,4134,6202,0.9384,0.5464,0.2,0.0
0.6,none,-,,SGD,0,1,4134,6202,0.9295,0.4821,0.4,0.0
